Dataset,Combination,Method,Classifier,Test_F1,Test_Accuracy,Test_Precision,Test_Recall,Used_GPU,N_Combinations,Best_Params
dataset_sem_caracteres_especiais_lemmatizado,completo,RandomSearch,SVM,0.9760604787904242,0.9760604787904242,0.9760608231308482,0.9760604787904242,True,15,"{'C': np.float64(18.44347898661638), 'kernel': np.str_('linear'), 'class_weight': 'balanced'}"
dataset_sem_caracteres_especiais_lemmatizado,completo,RandomSearch,LogisticRegression,0.9752201021994726,0.9752204955900882,0.9752475781136366,0.9752204955900882,True,15,"{'C': np.float64(15.699452033620265), 'penalty': np.str_('l2'), 'max_iter': np.int64(2000)}"
dataset_sem_caracteres_especiais_lemmatizado,completo,GridSearch,SVM,0.9739604289255711,0.9739605207895842,0.9739658347307346,0.9739605207895842,True,8,"{'C': 10.0, 'kernel': 'linear', 'class_weight': None}"
dataset_sem_caracteres_especiais_lemmatizado,completo,GridSearch,LogisticRegression,0.9739600155289556,0.9739605207895842,0.9739938728370889,0.9739605207895842,True,4,"{'C': 10.0, 'penalty': 'l2', 'max_iter': 2000}"
dataset_sem_stopwords_lemmatizado,completo,RandomSearch,SVM,0.971860503225398,0.9718605627887442,0.9718635294162578,0.9718605627887442,True,15,"{'C': np.float64(18.44347898661638), 'kernel': np.str_('linear'), 'class_weight': 'balanced'}"
dataset_sem_stopwords_lemmatizado,completo,RandomSearch,LogisticRegression,0.9718601160570282,0.9718605627887442,0.9718874426067786,0.9718605627887442,True,15,"{'C': np.float64(95.17143064099162), 'penalty': np.str_('l2'), 'max_iter': np.int64(2000)}"
dataset_sem_stopwords_lemmatizado,completo,GridSearch,LogisticRegression,0.9710201195214171,0.9710205795884083,0.9710474087300642,0.9710205795884083,True,4,"{'C': 100.0, 'penalty': 'l2', 'max_iter': 2000}"
dataset_sem_stopwords_lemmatizado,completo,GridSearch,SVM,0.9697605727837576,0.9697606047879043,0.9697619092568913,0.9697606047879043,True,8,"{'C': 10.0, 'kernel': 'linear', 'class_weight': None}"
dataset_sem_caracteres_especiais_lemmatizado,completo,RandomSearch,RandomForest,0.9272830137363716,0.9273414531709366,0.9286976191030694,0.9273414531709366,True,20,"{'n_estimators': 289, 'max_depth': np.int64(20), 'min_samples_split': 3, 'max_features': np.str_('sqrt')}"
dataset_sem_stopwords_lemmatizado,completo,RandomSearch,RandomForest,0.9239486535234739,0.9239815203695926,0.9246997055902936,0.9239815203695926,True,20,"{'n_estimators': 202, 'max_depth': np.int64(20), 'min_samples_split': 9, 'max_features': np.str_('sqrt')}"
