Embedding_Model,Dataset,Classifier,Method,Test_F1,Test_Accuracy,CV_Score,Used_GPU,Best_Params
OpenAI-3-small,Sem Caracteres Especiais,LogisticRegression,RandomSearch,0.9832,0.9832,,True,"{'C': np.float64(37.55401188473625), 'penalty': np.str_('l2'), 'max_iter': np.int64(2000)}"
OpenAI-3-small,Sem Caracteres Especiais,SVM,GridSearch,0.9798,0.9798,,True,"{'C': 10.0, 'kernel': 'linear', 'class_weight': None}"
TF-IDF,Sem Caracteres Especiais,SVM,GridSearch,0.9798,0.9798,0.9811,False,"{'C': 1.0, 'class_weight': None, 'kernel': 'linear'}"
TF-IDF,Sem Caracteres Especiais,LogisticRegression,GridSearch,0.9782,0.9782,0.9805,False,"{'C': 100.0, 'class_weight': 'balanced', 'max_iter': 1000, 'penalty': 'l2', 'solver': 'lbfgs'}"
TF-IDF,Sem Caracteres Especiais,SVM_RBF,GridSearch,0.9777,0.9777,0.9805,False,"{'C': 10.0, 'class_weight': 'balanced', 'gamma': 'scale', 'kernel': 'rbf'}"
TF-IDF,Sem Stopwords,SVM,GridSearch,0.9773,0.9773,0.9804,False,"{'C': 1.0, 'class_weight': None, 'kernel': 'linear'}"
TF-IDF,Sem Stopwords,SVM_RBF,GridSearch,0.9769,0.9769,0.9794,False,"{'C': 10.0, 'class_weight': 'balanced', 'gamma': 'scale', 'kernel': 'rbf'}"
TF-IDF,Sem Stopwords,LogisticRegression,GridSearch,0.9765,0.9765,0.9796,False,"{'C': 100.0, 'class_weight': 'balanced', 'max_iter': 1000, 'penalty': 'l2', 'solver': 'lbfgs'}"
SFR-Mistral,Sem Caracteres Especiais,SVM,RandomSearch,0.9761,0.9761,,True,"{'C': np.float64(18.44347898661638), 'kernel': np.str_('linear'), 'class_weight': 'balanced'}"
SFR-Mistral,Sem Caracteres Especiais,LogisticRegression,RandomSearch,0.9752,0.9752,,True,"{'C': np.float64(15.699452033620265), 'penalty': np.str_('l2'), 'max_iter': np.int64(2000)}"
SFR-Mistral,Sem Stopwords,SVM,RandomSearch,0.9719,0.9719,,True,"{'C': np.float64(18.44347898661638), 'kernel': np.str_('linear'), 'class_weight': 'balanced'}"
SFR-Mistral,Sem Stopwords,LogisticRegression,RandomSearch,0.9719,0.9719,,True,"{'C': np.float64(95.17143064099162), 'penalty': np.str_('l2'), 'max_iter': np.int64(2000)}"
TF-IDF,Sem Caracteres Especiais,RandomForest,RandomSearch,0.9702,0.9702,0.9693,False,"{'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'min_samples_split': 9, 'n_estimators': 288}"
OpenAI-3-small,Sem Stopwords,SVM,RandomSearch,0.9693,0.9693,,True,"{'C': np.float64(18.44347898661638), 'kernel': np.str_('linear'), 'class_weight': 'balanced'}"
OpenAI-3-small,Sem Stopwords,LogisticRegression,RandomSearch,0.9685,0.9685,,True,"{'C': np.float64(95.17143064099162), 'penalty': np.str_('l2'), 'max_iter': np.int64(2000)}"
TF-IDF,Sem Stopwords,RandomForest,RandomSearch,0.9681,0.9681,0.9681,False,"{'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'min_samples_split': 9, 'n_estimators': 288}"
OpenAI-3-small,Sem Caracteres Especiais,RandomForest,RandomSearch,0.942,0.942,,True,"{'n_estimators': 363, 'max_depth': np.int64(50), 'min_samples_split': 4, 'max_features': np.str_('log2')}"
SFR-Mistral,Sem Caracteres Especiais,RandomForest,RandomSearch,0.9273,0.9273,,True,"{'n_estimators': 289, 'max_depth': np.int64(20), 'min_samples_split': 3, 'max_features': np.str_('sqrt')}"
SFR-Mistral,Sem Stopwords,RandomForest,RandomSearch,0.9239,0.924,,True,"{'n_estimators': 202, 'max_depth': np.int64(20), 'min_samples_split': 9, 'max_features': np.str_('sqrt')}"
OpenAI-3-small,Sem Stopwords,RandomForest,RandomSearch,0.9198,0.9198,,True,"{'n_estimators': 202, 'max_depth': np.int64(20), 'min_samples_split': 9, 'max_features': np.str_('sqrt')}"
